Label,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,LBP_Mean,LBP_SD,LBP_PCA,Gabor Energy,Contour Area,Perimeter,Circularity,Aspect Ratio,Eccentricity,Solidity,Convexity,Extent,Hu_PCA,Edge Count,Curvature,Num Corners
22,16252.374862204724,1.5258789062500003e-05,9.388161002999227e-10,1.4702888062926925e-05,-0.023203803461394973,23.9039453125,1.519448161590015,-0.09605468750005954,1.0364615885416666,1907.0,3948.5204368829727,0.0015370633832322111,0.0,0.0,0.04393958594947063,0.04393958594947063,1907.0,0.0,1594,0.00025325942108822325,6
22,16252.434711286089,1.52587890625e-05,9.388125565538146e-10,1.4714762785460985e-05,-0.02320747283563691,23.902203776041667,1.5324685925398795,-0.09779622395831228,1.0730631510416666,1835.0,3950.2361665964127,0.0014777460625086064,0.0,0.0,0.0438256051396568,0.0438256051396568,1835.0,0.0,1554,0.0002531494214082942,6
22,16252.439258530185,1.52587890625e-05,9.388123830546103e-10,1.4720357476787471e-05,-0.023210540860236367,23.903792317708334,1.5190388763654905,-0.09620768229169148,1.0699381510416666,2000.5,3780.1701514720917,0.0017592425582988404,0.0,0.0,0.047897811617104824,0.047897811617104824,2000.5,0.0,1511,0.00026453835672200505,6
22,16252.337972440942,1.52587890625e-05,9.388184115883167e-10,1.47127897849569e-05,-0.023208226174749443,23.901865234375,1.5367445332533514,-0.0981347656249706,1.11583984375,1749.5,3972.2777955532074,0.001393299834570416,0.0,0.0,0.04212769543807265,0.04212769543807265,1749.5,0.0,1576,0.00025174472971640013,6
22,16252.469074803152,1.52587890625e-05,9.388105897943283e-10,1.4728897579835061e-05,-0.02321240318180644,23.905377604166667,1.5098973779002642,-0.09462239583338568,1.073837890625,1755.0,3934.236165523529,0.001424840109751802,0.0,0.0,0.042407693794703265,0.042407693794703265,1755.0,0.0,1506,0.00025417894552523133,6
22,16252.311758530186,1.52587890625e-05,9.388198546577161e-10,1.4702788790177903e-05,-0.023208453858580107,23.9055859375,1.5132247042774511,-0.09441406250002396,1.105029296875,2025.5,4204.728586912155,0.0014396806794195404,0.0,0.0,0.050178989483593665,0.050178989483593665,337.5833333333333,0.0,1565,0.00023782747907026607,5
22,16252.289986876642,1.5258789062499998e-05,9.388215179958479e-10,1.4702502700119176e-05,-0.02320985540574881,23.902389322916665,1.5326471583405403,-0.09761067708327999,1.12005859375,1713.0,4114.0595408678055,0.0012718212630465047,0.0,0.0,0.041671734741041674,0.041671734741041674,1713.0,0.0,1541,0.00024306891771164388,6
22,16252.587604986875,1.52587890625e-05,9.388034877347745e-10,1.4738825178791186e-05,-0.02321313669620549,23.90960611979167,1.4793289806122283,-0.09039388020832413,0.9927669270833334,1799.5,3813.1407132148743,0.0015552351063991509,0.0,0.0,0.044551452657118455,0.044551452657118455,899.75,0.0,1497,0.00026225100913123556,6
22,16252.5030839895,1.52587890625e-05,9.388085596747697e-10,1.4733215383564522e-05,-0.02321228663652109,23.906627604166665,1.49836250268296,-0.09337239583337129,1.0394466145833334,1862.0,3798.6726770401,0.0016215330119057454,0.0,0.0,0.04549063679562195,0.04549063679562195,465.5,0.0,1519,0.00026324984672782947,6
22,16252.399219160106,1.52587890625e-05,9.388147178787178e-10,1.471475453029919e-05,-0.023207467428896865,23.903375651041667,1.5232432028340204,-0.09662434895842839,1.0945149739583333,1776.0,3970.8635818958282,0.0014154120577602014,0.0,0.0,0.042491596186283544,0.042491596186283544,1776.0,0.0,1570,0.000251834388005484,6
22,16251.953549868766,1.52587890625e-05,9.388412961388152e-10,1.4649366230297534e-05,-0.023196747064891093,23.89236328125,1.611876983424418,-0.10763671874994697,1.2525065104166666,2102.0,4489.588539004326,0.0013104772753048763,0.0,0.0,0.04262913464073496,0.04262913464073496,350.3333333333333,0.0,1684,0.0002227375607613641,6
22,16252.394580052494,1.52587890625e-05,9.38815078470764e-10,1.4718483616569434e-05,-0.023207176666432374,23.90193359375,1.5354530448313537,-0.09806640625013503,1.0925846354166666,1856.0,4039.6920096874237,0.001429194463981569,0.0,0.0,0.04411222949767674,0.04411222949767674,928.0,0.0,1573,0.0002475436240193411,6
